BusinessYear,StateCode,IssuerId,SourceName,ImportDate,MedicalDentalBoth,ProductId,StandardComponentId,MedicalDentalIndicator,MaximumUnderageDependent,DependentMaximumAgRule,AgeDeterminationRule,MinimumTobaccoFreeMonthsRule,CohabitationRule,MarketCoverage,DentalOnlyPlan
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK013,21989AK0130002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK013,21989AK0130003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK013,21989AK0130004,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK013,21989AK0130024,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK016,21989AK0160001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK016,21989AK0160002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK016,21989AK0160061,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK018,21989AK0180001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK018,21989AK0180002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK106,38344AK1060001,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK106,38344AK1060002,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK106,38344AK1060004,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK107,38344AK1070002,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK108,38344AK1080001,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK110,38344AK1100001,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK110,38344AK1100002,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,38344,HIOS,2024-11-15 00:01:36,Medical,38344AK110,38344AK1100004,Medical,3,25,Age on effective date,6,"Brother or Sister,No;Child,No;Collateral Dependent,No;Ex-Spouse,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Other Relationship,No;Other Relative,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK093,73836AK0930001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK093,73836AK0930002,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK093,73836AK0930003,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK094,73836AK0940001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK095,73836AK0950001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK096,73836AK0960001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,Medical,73836AK097,73836AK0970002,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AK,74819,HIOS,2024-10-18 01:02:01,Dental,74819AK002,74819AK0020007,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,74819,HIOS,2024-10-18 01:02:01,Dental,74819AK002,74819AK0020010,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,74819,HIOS,2024-10-18 01:02:01,Dental,74819AK002,74819AK0020011,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,74819,HIOS,2024-10-18 01:02:01,Dental,74819AK002,74819AK0020012,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,12538,HIOS,2024-11-14 00:02:01,Dental,12538AL002,12538AL0020003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,12538,HIOS,2024-11-14 00:02:01,Dental,12538AL002,12538AL0020006,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,12538,HIOS,2024-11-14 00:02:01,Dental,12538AL002,12538AL0020007,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,12538,HIOS,2024-11-14 00:02:01,Dental,12538AL002,12538AL0020008,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,17540,HIOS,2024-09-14 01:01:31,Dental,17540AL013,17540AL0130004,Dental,3,26,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No",Individual,Yes
2025,AL,17540,HIOS,2024-09-14 01:01:31,Dental,17540AL014,17540AL0140004,Dental,3,26,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No",Individual,Yes
2025,AL,17540,HIOS,2024-09-14 01:01:31,Dental,17540AL015,17540AL0150004,Dental,3,26,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No",Individual,Yes
2025,AL,18239,HIOS,2024-08-15 01:01:23,Dental,18239AL001,18239AL0010001,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,18239,HIOS,2024-08-15 01:01:23,Dental,18239AL001,18239AL0010002,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,18239,HIOS,2024-08-15 01:01:23,Dental,18239AL001,18239AL0010003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,18239,HIOS,2024-08-15 01:01:23,Dental,18239AL001,18239AL0010004,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL010,28725AL0100003,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL010,28725AL0100004,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL011,28725AL0110001,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL011,28725AL0110002,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL012,28725AL0120001,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL012,28725AL0120002,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL013,28725AL0130001,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL013,28725AL0130002,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL014,28725AL0140001,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,28725,HIOS,2024-09-14 01:01:31,Dental,28725AL015,28725AL0150001,Dental,3,Not Applicable,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Life Partner,Yes;Self,Yes;Spouse,Yes;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,44580,HIOS,2024-08-08 01:02:06,Dental,44580AL038,44580AL0380001,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,44580,HIOS,2024-08-08 01:02:06,Dental,44580AL038,44580AL0380003,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,44580,HIOS,2024-08-08 01:02:06,Dental,44580AL038,44580AL0380004,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,No;Nephew or Niece,No;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46363,HIOS,2024-09-17 01:02:01,Dental,46363AL001,46363AL0010001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,Yes;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46363,HIOS,2024-09-17 01:02:01,Dental,46363AL001,46363AL0010002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,Yes;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46363,HIOS,2024-09-17 01:02:01,Dental,46363AL001,46363AL0010003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,Yes;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46363,HIOS,2024-09-17 01:02:01,Dental,46363AL001,46363AL0010004,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,Yes;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL028,46944AL0280001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL034,46944AL0340001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL037,46944AL0370001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL038,46944AL0380001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL041,46944AL0410001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL043,46944AL0430001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL046,46944AL0460001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL047,46944AL0470001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL050,46944AL0500001,Dental,Not Applicable,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL056,46944AL0560001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL065,46944AL0650001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL066,46944AL0660001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL067,46944AL0670001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL068,46944AL0680001,Medical,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL071,46944AL0710001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL072,46944AL0720001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL073,46944AL0730001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL074,46944AL0740001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
2025,AL,46944,HIOS,2024-09-18 01:01:22,Both,46944AL075,46944AL0750001,Medical,3,25,Age on effective date,6,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Self,Yes;Sponsored Dependent,No;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,No
